track_a,track_b,class_a,class_b,t,ttc_s,d_cpa,min_distance,closing_speed,approach_speed,interaction_type,involves_vulnerable,unit,x,y,frames_triggered,conflict_grade,severity
22,895,car,car,14.55,0.53,1.31,4.61,29.0,30.2,head-on,False,m,-91.4,-1.4,39,critical,high
329,585,car,motorcycle,17.78,0.54,1.4,3.13,16.8,18.8,following/vulnerable-road-user,True,m,-63.6,-8.9,26,critical,high
474,480,pedestrian,car,11.95,0.62,1.09,3.75,20.0,20.9,crossing/vulnerable-road-user,True,m,-21.3,-26.5,54,critical,high
17,52,car,car,4.61,0.73,2.07,5.28,22.1,24.0,crossing,False,m,-91.4,-1.1,50,critical,high
41,433,car,car,5.51,0.75,1.75,6.63,29.6,30.7,merging,False,m,-90.7,-1.4,24,critical,high
10,1686,car,motorcycle,32.83,0.81,1.49,4.55,18.1,19.1,crossing/vulnerable-road-user,True,m,-24.9,17.6,39,critical,high
915,1810,lgv,car,39.61,0.84,2.17,9.11,36.9,38.0,head-on,False,m,-57.5,-7.8,27,critical,high
1189,1882,lgv,motorcycle,35.2,0.88,1.56,4.25,15.1,16.2,crossing/vulnerable-road-user,True,m,-31.1,-12.9,7,critical,high
564,1199,car,motorcycle,22.99,0.92,1.29,3.74,12.9,13.7,merging/vulnerable-road-user,True,m,-23.4,-18.0,18,critical,high
1734,2084,car,pedestrian,40.87,0.95,0.89,4.79,17.5,17.8,crossing/vulnerable-road-user,True,m,-19.3,-26.9,5,critical,high
1983,2084,lgv,pedestrian,43.48,0.96,1.42,4.42,14.9,15.8,crossing/vulnerable-road-user,True,m,-17.7,-25.0,27,critical,high
52,2121,car,motorcycle,48.41,0.97,1.3,4.47,15.2,15.9,merging/vulnerable-road-user,True,m,-91.6,-1.1,20,critical,high
52,1734,car,car,59.39,1.01,0.95,5.99,20.8,21.1,crossing,False,m,-90.9,-1.3,45,critical,high
38,52,motorcycle,car,7.94,1.06,1.46,6.9,22.4,22.9,crossing/vulnerable-road-user,True,m,-90.7,-1.7,44,critical,high
1202,1285,hgv,car,22.82,1.06,2.51,9.37,29.5,30.6,head-on,False,m,-23.5,6.3,30,critical,high
631,1203,car,pedestrian,28.43,1.13,0.76,5.93,18.6,18.8,merging/vulnerable-road-user,True,m,-70.0,-9.4,94,critical,high
1654,1882,car,motorcycle,37.67,1.14,1.45,4.44,12.6,13.3,crossing/vulnerable-road-user,True,m,-32.0,-13.4,58,critical,high
271,1080,car,car,22.59,1.15,2.03,8.37,24.7,25.5,crossing,False,m,-32.6,-19.8,47,critical,high
1287,1392,car,car,28.5,1.16,1.61,7.33,21.6,22.1,merging,False,m,-11.0,-26.8,59,critical,high
52,2288,car,motorcycle,45.45,1.17,1.48,9.45,28.3,28.6,crossing/vulnerable-road-user,True,m,-89.6,-1.3,7,critical,high
271,880,car,car,20.59,1.19,2.06,7.96,22.5,23.3,crossing,False,m,-33.2,-19.1,22,critical,high
934,1760,car,lgv,33.4,1.31,1.66,11.28,30.4,30.7,crossing,False,m,-88.6,-1.7,10,critical,high
627,775,car,car,20.32,1.32,1.82,8.71,22.7,23.2,following,False,m,-97.8,3.5,7,critical,high
1734,2058,car,pedestrian,41.41,1.33,1.25,5.6,14.3,14.7,crossing/vulnerable-road-user,True,m,-21.4,-27.8,20,critical,high
52,934,car,car,33.4,1.36,2.02,11.27,28.8,29.3,following,False,m,-88.6,-1.7,8,critical,high
474,1094,pedestrian,car,18.32,1.37,0.99,6.07,15.5,15.7,crossing/vulnerable-road-user,True,m,-19.9,-18.2,7,critical,high
9,1896,car,car,50.38,1.41,0.96,10.33,26.1,26.2,following,False,m,-46.6,-4.9,6,critical,high
1654,1796,car,pedestrian,37.64,1.48,1.28,5.91,13.7,14.0,crossing/vulnerable-road-user,True,m,-31.4,-13.7,86,critical,high
24,52,motorcycle,car,15.92,1.49,1.48,10.34,24.5,24.7,merging/vulnerable-road-user,True,m,-88.6,-2.3,29,critical,high
271,1622,car,car,38.57,0.2,1.41,1.83,13.0,20.4,crossing,False,m,-42.0,-19.3,62,serious,medium
133,937,lgv,lgv,27.26,0.2,1.74,2.18,14.2,23.5,head-on,False,m,16.6,-32.5,40,serious,medium
177,774,car,car,11.31,0.21,1.32,1.73,12.7,19.5,head-on,False,m,-27.3,-24.2,24,serious,medium
52,325,car,motorcycle,23.42,0.21,1.38,1.75,11.5,18.7,merging/vulnerable-road-user,True,m,-92.7,-0.9,83,serious,medium
10,1285,car,car,26.03,0.21,1.49,1.89,12.4,20.1,crossing,False,m,-24.4,18.7,61,serious,medium
50,913,hgv,car,14.11,0.21,1.49,2.14,18.5,25.8,head-on,False,m,16.5,-42.9,22,serious,medium
50,279,hgv,car,3.2,0.21,1.59,2.22,18.6,26.6,head-on,False,m,16.2,-42.6,26,serious,medium
279,288,car,bus,3.2,0.21,1.59,2.22,18.5,26.6,crossing,False,m,16.3,-42.6,21,serious,medium
913,1895,car,car,35.87,0.21,1.93,2.39,14.4,24.6,following,False,m,-93.5,-0.1,25,serious,medium
52,913,car,car,35.87,0.21,1.96,2.4,13.4,23.3,following,False,m,-93.5,-0.1,24,serious,medium
232,774,car,car,16.35,0.22,1.18,1.63,12.9,18.8,head-on,False,m,-22.2,-24.2,62,serious,medium
133,869,lgv,lgv,24.89,0.22,1.08,1.65,15.8,20.8,crossing,False,m,16.9,-32.3,47,serious,medium
1654,2576,car,car,52.39,0.22,1.67,2.11,13.0,21.3,crossing,False,m,18.4,-35.7,34,serious,medium
1287,1859,car,lgv,49.52,0.22,1.86,2.32,13.6,22.8,crossing,False,m,16.4,-32.3,62,serious,medium
17,433,car,car,5.11,0.22,2.04,2.55,14.8,24.6,head-on,False,m,-92.9,-0.5,20,serious,medium
50,2305,hgv,car,44.68,0.22,2.02,2.6,17.1,27.2,following,False,m,16.3,-42.0,22,serious,medium
50,2919,hgv,car,58.69,0.22,2.22,2.74,15.4,26.3,head-on,False,m,16.5,-42.0,20,serious,medium
2919,2929,car,bus,58.69,0.22,2.24,2.75,15.2,26.2,head-on,False,m,16.5,-42.0,9,serious,medium
50,1109,hgv,hgv,18.02,0.22,2.98,3.45,14.1,28.0,crossing,False,m,17.0,-42.4,5,serious,medium
50,631,hgv,car,9.08,0.23,0.78,1.36,14.3,17.5,crossing,False,m,16.1,-43.2,34,serious,medium
50,1734,hgv,car,32.0,0.23,0.9,1.39,12.5,16.5,following,False,m,16.0,-42.2,37,serious,medium
693,899,car,car,19.39,0.23,0.82,1.48,16.4,19.6,crossing,False,m,-25.4,-9.7,25,serious,medium
177,474,car,pedestrian,10.14,0.23,1.23,1.55,8.9,14.7,crossing/vulnerable-road-user,True,m,-22.7,-26.6,84,serious,medium
22,427,car,motorcycle,4.87,0.23,1.21,1.62,11.5,17.3,crossing/vulnerable-road-user,True,m,-30.5,-23.7,15,serious,medium
138,583,car,lgv,7.04,0.23,1.04,1.83,19.2,23.4,crossing,False,m,-21.8,19.6,8,serious,medium
50,1906,hgv,car,35.6,0.23,1.09,1.87,19.1,23.5,crossing,False,m,16.1,-42.2,29,serious,medium
50,2653,hgv,car,52.32,0.23,1.24,1.97,19.0,24.4,crossing,False,m,16.2,-42.4,29,serious,medium
2647,2653,bus,car,52.32,0.23,1.25,1.97,18.7,24.2,crossing,False,m,16.2,-42.4,27,serious,medium
2199,2576,car,car,51.72,0.23,1.35,1.98,16.9,23.0,crossing,False,m,18.1,-36.3,27,serious,medium
1416,1859,car,lgv,34.77,0.23,1.72,2.2,13.3,21.3,merging,False,m,16.2,-31.9,33,serious,medium
329,774,car,car,11.74,0.23,1.75,2.25,13.9,22.2,crossing,False,m,-26.5,-24.1,31,serious,medium
50,578,hgv,car,8.11,0.23,1.9,2.36,12.8,21.6,crossing,False,m,16.3,-42.5,30,serious,medium
1827,1896,car,car,48.15,0.23,1.7,2.4,19.1,27.0,head-on,False,m,-33.6,-11.2,34,serious,medium
87,129,car,bus,0.87,0.23,1.72,2.45,19.6,27.4,crossing,False,m,16.2,-42.4,12,serious,medium
50,87,hgv,car,0.87,0.23,1.72,2.46,19.9,27.8,crossing,False,m,16.2,-42.3,20,serious,medium
52,1906,car,car,56.59,0.23,1.99,2.57,16.0,25.2,crossing,False,m,-92.7,-0.2,28,serious,medium
50,934,hgv,car,14.75,0.23,2.19,2.7,14.5,24.8,merging,False,m,16.6,-42.7,24,serious,medium
23,52,car,car,7.64,0.24,1.19,1.73,13.9,19.2,head-on,False,m,-93.5,-1.0,56,serious,medium
515,913,car,car,19.55,0.24,1.25,1.75,13.2,18.8,merging,False,m,-15.0,-29.7,65,serious,medium
578,1663,car,lgv,29.63,0.26,1.7,2.26,13.6,20.7,crossing,False,m,-92.8,-0.4,5,serious,medium
52,578,car,car,29.63,0.26,1.72,2.27,13.3,20.4,merging,False,m,-92.8,-0.5,41,serious,medium
52,64,car,car,0.93,0.27,1.24,2.04,17.5,21.9,crossing,False,m,-93.3,-0.6,22,serious,medium
64,146,car,lgv,0.93,0.28,1.2,2.07,17.8,21.8,crossing,False,m,-93.3,-0.6,9,serious,medium
52,269,car,car,5.81,0.3,1.2,1.97,15.0,18.9,following,False,m,-93.0,-0.9,54,serious,medium
1293,2305,car,car,58.69,0.38,1.15,2.1,14.2,16.9,following,False,m,-52.4,-12.7,61,serious,medium
133,1094,lgv,car,27.93,0.39,1.54,2.69,16.8,20.5,crossing,False,m,16.1,-32.1,43,serious,medium
1985,2560,car,car,53.85,0.41,1.58,2.61,14.3,18.0,crossing,False,m,-29.9,-14.8,8,serious,medium
1111,1287,lgv,car,24.12,0.44,0.93,2.74,19.6,20.9,merging,False,m,-13.1,-26.0,51,serious,medium
2585,2600,car,hgv,50.95,0.55,1.24,2.76,14.6,16.3,following,False,m,16.5,-42.3,19,serious,medium
14,24,car,motorcycle,0.93,0.58,1.15,2.28,10.7,12.3,following/vulnerable-road-user,True,m,2.5,-36.7,68,serious,medium
934,1080,car,car,19.99,0.67,1.22,3.05,13.7,15.0,following,False,m,-12.4,-28.6,136,serious,medium
329,480,car,car,18.85,0.82,0.15,3.83,16.8,16.8,following,False,m,-65.1,-7.6,5,serious,medium
1287,1896,car,car,40.11,0.87,2.04,4.91,16.7,18.4,following,False,m,-14.1,-26.0,8,serious,medium
8,722,car,car,10.84,0.87,2.05,5.47,19.4,20.9,following,False,m,-91.4,-1.1,24,serious,medium
271,2907,car,lgv,58.59,0.88,1.91,4.32,14.2,15.9,crossing,False,m,-91.8,-1.0,26,serious,medium
39,515,car,car,28.83,0.93,2.07,4.86,15.4,17.0,crossing,False,m,-23.8,-52.5,32,serious,medium
8,52,car,car,10.78,0.93,2.07,5.73,19.3,20.7,following,False,m,-91.2,-1.2,14,serious,medium
2515,2749,motorcycle,car,59.53,0.99,0.01,2.73,10.0,10.0,following/vulnerable-road-user,True,m,-79.4,-2.7,12,serious,medium
177,480,car,car,18.89,1.0,0.47,4.13,14.6,14.7,following,False,m,-65.6,-7.9,20,serious,medium
2146,2305,car,car,50.22,1.02,2.05,5.81,18.0,19.3,following,False,m,-19.6,-27.1,30,serious,medium
2341,2510,motorcycle,car,49.18,1.07,0.67,3.33,10.8,11.0,following/vulnerable-road-user,True,m,-92.4,-1.2,14,serious,medium
52,2341,car,motorcycle,49.18,1.13,0.61,3.4,10.5,10.6,following/vulnerable-road-user,True,m,-92.4,-1.2,21,serious,medium
1906,2033,car,motorcycle,45.55,1.16,1.46,4.03,10.8,11.6,merging/vulnerable-road-user,True,m,-32.7,-19.8,149,serious,medium
1957,2560,car,car,50.52,1.25,2.02,5.9,15.0,16.0,crossing,False,m,-29.4,-12.7,10,serious,medium
1203,1347,pedestrian,motorcycle,27.33,1.29,0.7,4.13,11.2,11.4,crossing/vulnerable-road-user,True,m,-70.9,-9.8,50,serious,medium
913,934,car,car,36.17,1.33,0.58,5.08,13.6,13.7,following,False,m,-97.1,2.4,355,serious,medium
1983,2248,lgv,car,46.91,1.35,2.13,5.54,12.5,13.6,crossing,False,m,-30.8,-18.6,25,serious,medium
1287,1802,car,car,37.64,1.36,0.62,5.44,14.2,14.3,following,False,m,-12.1,-26.1,61,serious,medium
177,585,car,motorcycle,18.55,1.42,0.95,3.63,8.5,8.9,following/vulnerable-road-user,True,m,-66.9,-8.1,5,serious,medium
113,892,car,car,13.21,1.45,1.17,5.57,13.2,13.5,head-on,False,m,14.8,-31.6,15,serious,medium
188,480,car,car,9.58,1.46,1.88,8.17,19.1,19.6,following,False,m,-10.0,-29.7,33,serious,medium
564,1287,car,car,23.99,1.47,2.05,8.31,19.1,19.7,crossing,False,m,-17.4,-22.7,16,serious,medium
1392,2046,car,car,39.17,0.2,1.26,1.46,6.5,13.0,following,False,m,-62.9,-8.6,13,close_interaction,low
271,913,car,car,26.39,0.2,1.25,1.48,7.5,14.0,following,False,m,-41.3,-19.8,32,close_interaction,low
50,2585,hgv,car,51.25,0.2,1.33,1.63,9.9,17.1,crossing,False,m,15.9,-42.1,32,close_interaction,low
515,631,car,car,17.32,0.21,0.82,1.05,7.0,11.1,following,False,m,-14.6,-29.8,52,close_interaction,low
2362,2550,motorcycle,car,52.25,0.21,1.43,1.62,6.1,13.0,following/vulnerable-road-user,True,m,-60.6,-8.9,58,close_interaction,low
10,2296,car,car,58.76,0.21,1.46,1.73,8.4,15.6,crossing,False,m,-24.5,19.2,61,close_interaction,low
1407,1622,car,car,30.33,0.21,1.63,1.9,8.7,16.8,following,False,m,6.5,-37.5,79,close_interaction,low
52,271,car,car,59.26,0.21,1.7,1.99,9.4,18.0,crossing,False,m,-93.2,-0.5,67,close_interaction,low
11,869,car,lgv,22.02,0.21,1.86,2.09,7.3,16.1,head-on,False,m,3.1,-26.1,65,close_interaction,low
515,880,car,car,17.22,0.21,2.0,2.24,8.0,17.6,following,False,m,-14.0,-29.4,54,close_interaction,low
15,869,lgv,lgv,23.22,0.21,2.13,2.4,8.6,18.7,crossing,False,m,8.5,-28.2,56,close_interaction,low
50,1407,hgv,car,26.63,0.22,0.5,0.92,10.4,12.5,crossing,False,m,16.0,-42.9,50,close_interaction,low
1896,2228,car,car,45.68,0.22,1.53,1.76,7.1,14.5,crossing,False,m,-28.0,-16.3,36,close_interaction,low
271,1467,car,car,37.27,0.22,1.92,2.11,6.1,14.7,head-on,False,m,-42.0,-18.9,42,close_interaction,low
50,515,hgv,car,7.21,0.22,1.74,2.14,11.8,20.2,merging,False,m,16.3,-42.6,28,close_interaction,low
7,1601,car,car,31.13,0.22,2.06,2.33,8.5,18.2,head-on,False,m,-79.5,6.4,20,close_interaction,low
27,133,car,lgv,4.54,0.23,1.69,2.02,9.7,17.5,merging,False,m,16.8,-32.6,64,close_interaction,low
2516,2560,car,car,52.92,0.23,1.82,2.11,8.5,16.7,crossing,False,m,-28.3,-13.7,35,close_interaction,low
1952,2120,car,car,42.91,0.23,1.73,2.12,11.3,19.5,following,False,m,-82.9,5.6,94,close_interaction,low
232,480,car,car,10.11,0.23,2.0,2.3,9.2,18.4,following,False,m,-9.8,-29.7,45,close_interaction,low
515,934,car,car,20.02,0.23,2.04,2.4,10.2,19.6,following,False,m,-15.2,-29.2,23,close_interaction,low
1100,1131,car,car,20.35,0.24,1.59,1.81,6.3,13.0,following,False,m,8.1,-36.6,68,close_interaction,low
186,306,car,car,3.5,0.24,1.78,2.16,10.3,18.2,crossing,False,m,-30.9,-15.7,21,close_interaction,low
52,1467,car,car,48.28,0.24,2.05,2.49,11.9,21.0,merging,False,m,-92.9,-0.3,25,close_interaction,low
1392,1467,car,car,33.73,0.27,1.49,1.74,6.1,11.9,merging,False,m,-32.2,-19.7,68,close_interaction,low
1293,1654,car,car,32.2,0.27,1.79,2.02,6.0,12.9,following,False,m,-64.1,-2.2,104,close_interaction,low
113,133,car,lgv,14.58,0.28,1.21,1.48,6.4,11.1,following,False,m,17.1,-32.6,80,close_interaction,low
271,1906,car,car,51.22,0.3,1.0,1.41,8.4,11.9,following,False,m,-60.4,-11.4,108,close_interaction,low
271,934,car,car,25.56,0.3,1.16,1.44,6.2,10.4,following,False,m,-40.6,-20.1,88,close_interaction,low
2296,2560,car,car,50.45,0.3,1.53,1.86,7.1,12.5,crossing,False,m,-25.6,-12.3,12,close_interaction,low
1906,2146,car,car,42.31,0.31,1.66,1.95,6.3,11.9,following,False,m,-18.3,-27.7,34,close_interaction,low
177,329,car,car,14.58,0.33,1.07,1.39,6.1,9.6,following,False,m,-41.6,-17.5,192,close_interaction,low
1111,1131,lgv,car,19.79,0.33,1.76,2.24,9.3,15.1,following,False,m,13.2,-38.4,59,close_interaction,low
1025,1734,lgv,car,42.81,0.33,2.15,2.45,6.1,12.7,crossing,False,m,-23.8,-26.0,28,close_interaction,low
2585,2653,car,car,54.39,0.35,1.09,1.57,8.2,11.5,following,False,m,3.4,-35.9,90,close_interaction,low
41,52,car,car,6.04,0.35,1.98,2.36,7.2,13.2,following,False,m,-93.0,-0.6,34,close_interaction,low
7,1952,car,car,43.31,0.38,1.84,2.19,6.1,11.3,merging,False,m,-79.8,6.4,58,close_interaction,low
1467,2341,car,motorcycle,46.15,0.4,1.45,1.87,6.7,10.6,following/vulnerable-road-user,True,m,-82.5,-3.6,38,close_interaction,low
188,279,car,car,7.71,0.42,1.58,1.99,6.3,10.4,following,False,m,-10.4,-29.5,28,close_interaction,low
631,880,car,car,16.98,0.46,1.13,2.11,11.9,14.1,following,False,m,-12.0,-29.9,149,close_interaction,low
578,880,car,car,25.86,0.46,1.68,2.6,11.9,15.6,following,False,m,-66.1,-8.9,67,close_interaction,low
1864,1896,car,car,36.17,0.48,1.26,1.75,6.2,9.1,following,False,m,11.6,-37.3,100,close_interaction,low
1467,2121,car,motorcycle,46.55,0.5,1.01,1.51,6.1,8.1,following/vulnerable-road-user,True,m,-84.3,-2.8,165,close_interaction,low
2515,2792,motorcycle,motorcycle,58.06,0.52,0.71,1.41,7.2,8.4,following/vulnerable-road-user,True,m,-75.9,-4.9,14,close_interaction,low
1952,1957,car,car,36.04,0.53,1.91,2.52,7.2,11.1,following,False,m,-103.0,12.7,55,close_interaction,low
1467,1622,car,car,42.11,0.55,0.96,1.64,7.0,8.7,following,False,m,-62.9,-10.0,54,close_interaction,low
13,37,car,motorcycle,0.9,0.62,1.11,1.83,6.8,8.5,following/vulnerable-road-user,True,m,-16.6,-26.5,50,close_interaction,low
177,279,car,car,8.57,0.63,1.23,2.1,7.8,9.7,following,False,m,-15.9,-28.6,103,close_interaction,low
1100,1111,car,lgv,19.85,0.69,0.58,1.49,6.6,7.1,following,False,m,11.6,-37.1,83,close_interaction,low
3,134,car,car,12.51,0.72,1.39,2.12,6.1,8.0,following,False,m,6.4,-30.4,99,close_interaction,low
1407,1734,car,car,39.54,0.81,1.07,2.33,8.2,9.2,following,False,m,-14.2,-29.8,39,close_interaction,low
1734,1896,car,car,40.17,0.83,1.88,3.09,8.4,10.6,following,False,m,-14.1,-28.2,110,close_interaction,low
41,269,car,car,5.51,0.98,0.65,3.02,10.6,10.9,following,False,m,-88.9,-1.5,16,close_interaction,low
869,1262,lgv,car,25.73,1.06,1.13,3.54,10.8,11.4,following,False,m,18.1,-35.7,13,close_interaction,low
13,28,car,car,5.21,1.09,2.05,3.16,6.0,7.9,following,False,m,-35.9,-18.5,80,close_interaction,low
21,27,car,car,5.17,1.19,0.82,3.5,10.0,10.3,following,False,m,16.8,-34.1,12,close_interaction,low
693,1467,car,car,28.76,1.28,1.4,3.84,9.4,10.1,crossing,False,m,-28.9,-14.3,11,close_interaction,low
1983,2082,lgv,car,48.12,1.31,1.69,3.11,6.0,7.2,following,False,m,-35.1,-18.6,178,close_interaction,low
271,1954,car,car,36.57,1.33,1.62,4.25,9.8,10.6,following,False,m,-40.6,-19.3,23,close_interaction,low
1827,2595,car,car,52.22,1.51,1.5,3.24,6.0,6.8,merging,False,m,-20.6,-16.5,51,close_interaction,low
1957,2595,car,car,54.66,1.52,0.98,3.38,7.4,7.7,following,False,m,-16.1,-20.3,121,close_interaction,low
40,722,motorcycle,car,11.14,1.56,0.96,9.43,21.6,21.7,head-on/vulnerable-road-user,True,m,-89.5,-2.2,41,close_interaction,low
365,681,car,car,10.74,1.57,1.98,6.69,14.0,14.7,merging,False,m,-16.6,-18.4,12,close_interaction,low
8,40,car,motorcycle,11.95,1.6,1.42,6.36,13.6,14.0,following/vulnerable-road-user,True,m,-92.2,-0.2,7,close_interaction,low
28,37,car,motorcycle,1.83,1.6,1.44,10.13,22.4,22.6,merging/vulnerable-road-user,True,m,-26.9,-19.6,39,close_interaction,low
2250,2384,motorcycle,hgv,46.75,1.6,1.89,14.56,32.2,32.4,head-on/vulnerable-road-user,True,m,-23.8,8.0,5,close_interaction,low
23,38,car,motorcycle,10.14,1.61,0.72,4.3,9.4,9.5,following/vulnerable-road-user,True,m,-102.9,3.5,12,close_interaction,low
1983,2228,lgv,car,46.05,1.61,2.17,6.73,13.4,14.2,crossing,False,m,-27.5,-19.2,27,close_interaction,low
1906,2550,car,car,54.62,1.63,1.86,4.91,9.3,10.0,following,False,m,-77.0,-3.6,24,close_interaction,low
2074,2481,car,car,56.72,1.63,1.66,9.09,19.4,19.7,merging,False,m,-41.5,-11.3,9,close_interaction,low
11,1094,car,car,23.92,1.67,2.03,7.66,15.4,16.0,merging,False,m,0.0,-24.8,20,close_interaction,low
37,40,motorcycle,motorcycle,14.38,1.68,0.66,5.15,10.9,11.0,following/vulnerable-road-user,True,m,-100.3,2.4,67,close_interaction,low
1906,2808,car,lgv,55.16,1.69,2.15,11.42,23.4,23.9,crossing,False,m,-88.3,-1.9,7,close_interaction,low
1906,2058,car,pedestrian,41.41,1.71,1.2,10.42,21.7,21.8,crossing/vulnerable-road-user,True,m,-18.9,-28.5,42,close_interaction,low
25,87,motorcycle,car,5.61,1.73,1.41,8.7,17.6,17.8,crossing/vulnerable-road-user,True,m,-14.8,-28.6,68,close_interaction,low
325,1091,motorcycle,motorcycle,24.86,1.75,0.78,4.34,8.7,8.8,following/vulnerable-road-user,True,m,-97.3,1.2,67,close_interaction,low
774,1111,car,lgv,20.12,1.78,2.09,21.99,44.1,44.3,head-on,False,m,0.9,-31.1,22,close_interaction,low
271,564,car,car,16.42,1.79,0.92,4.61,8.9,9.1,following,False,m,-44.1,-10.8,11,close_interaction,low
3,439,car,lgv,6.07,1.79,2.13,7.02,12.8,13.4,merging,False,m,-23.7,-15.4,17,close_interaction,low
37,52,motorcycle,car,11.74,1.83,1.49,10.45,20.1,20.3,head-on/vulnerable-road-user,True,m,-88.9,-2.2,41,close_interaction,low
11,2465,car,lgv,55.35,1.84,2.18,9.21,17.0,17.5,merging,False,m,-0.9,-24.3,14,close_interaction,low
271,2876,car,car,57.62,1.85,1.3,8.69,16.5,16.7,merging,False,m,-89.6,-1.7,21,close_interaction,low
1654,1859,car,lgv,50.28,1.85,2.16,10.82,20.2,20.6,crossing,False,m,11.9,-31.1,7,close_interaction,low
1952,1985,car,car,37.2,1.86,1.85,7.03,12.6,13.1,following,False,m,-101.7,11.8,23,close_interaction,low
22,657,car,pedestrian,10.54,1.86,1.32,13.27,25.5,25.6,crossing/vulnerable-road-user,True,m,-66.8,-10.7,11,close_interaction,low
52,54,car,motorcycle,0.27,1.87,1.48,11.05,20.9,21.1,head-on/vulnerable-road-user,True,m,-89.0,-1.8,9,close_interaction,low
1287,1668,car,car,32.03,1.88,2.02,6.75,11.8,12.3,head-on,False,m,-15.7,-21.5,10,close_interaction,low
578,774,car,car,16.15,1.88,1.9,8.47,15.4,15.8,head-on,False,m,-19.3,-25.8,21,close_interaction,low
1287,1416,car,car,27.83,1.91,2.02,7.35,12.8,13.4,head-on,False,m,-15.7,-21.6,14,close_interaction,low
1189,1796,lgv,pedestrian,34.5,1.92,1.1,8.88,16.4,16.6,crossing/vulnerable-road-user,True,m,-31.6,-12.4,35,close_interaction,low
